HexType,2018 HLC Visits,2019 HLC Visits,Total HLC Visits,2018 Minutes Exposed,2019 Minutes Exposed,Total Minutes Exposed,Total Culex,Total Aedes,Total Anopheles,Total Coquillitidea,Total Psorophora,Total Mosquitoes Collected,Mosquitoes per visit,Mosquitoes per minute,Mosquitoes per hour,Nuissance Mosquitoes per visit,Nuissance Mosquitoes per minute,Nuissance Mosquitoes per hour,Nuissance Factor,Culex per visit,Culex per minute,Culex Per Hour,2018 Human Observations,2019 Human Observations,Total Human Observations,2018 Human Obs Visits,2019 Human Obs Visits,Total Human Obs Visits,Total Human Obs Minutes,Human Obs per visit,Human Obs per minute,Human Obs per hour,Risk,HexID,AM visits,PM visits
NR0,4,7,11,60,105,165,,,,,,0,0,0,0,0,0,0,0,0,0,0,29,23,52,3,6,9,90,5.7777777777778,0.5777777777778,34.666666666667,0,4014,,11
LR1,,7,7,0,105,105,2,4,,,,6,0.8571428571429,0.0571428571429,3.4285714285714,4,0.2666666666667,16,3.9771428571429,0.2857142857143,0.0190476190476,1.1428571428571,,29,29,,7,7,70,4.1428571428571,0.4142857142857,24.857142857143,0.2840816326531,4065,,7
LR1,,8,8,0,120,120,,1,,1,,2,0.25,0.0166666666667,1,2,0.1333333333333,8,3.24,0,0,0,,54,54,,8,8,80,6.75,0.675,40.5,0,4070,,8
LR1,,6,6,0,90,90,1,1,1,,,3,0.5,0.0333333333333,2,2,0.1333333333333,8,4.32,0.1666666666667,0.0111111111111,0.6666666666667,,54,54,,6,6,60,9,0.9,54,0.36,4073,,6
NR0,4,7,11,60,105,165,,1,,,,1,0.0909090909091,0.0060606060606,0.3636363636364,1,0.0666666666667,4,1.224,0,0,0,10,41,51,3,7,10,100,5.1,0.51,30.6,0,4082,,11
PR1,,8,8,0,120,120,3,13,2,,,18,2.25,0.15,9,15,1,60,10.285714285714,0.375,0.025,1.5,,20,20,,7,7,70,2.8571428571429,0.2857142857143,17.142857142857,0.2571428571429,4098,,8
LR1,,9,9,0,135,135,,,1,,,1,0.1111111111111,0.0074074074074,0.4444444444444,1,0.0666666666667,4,1.65,0,0,0,,55,55,,8,8,80,6.875,0.6875,41.25,0,4104,,9
LR1,,8,8,0,120,120,1,2,1,,,4,0.5,0.0333333333333,2,3,0.2,12,2.07,0.125,0.0083333333333,0.5,,23,23,,8,8,80,2.875,0.2875,17.25,0.08625,4135,,8
NR0,,8,8,0,120,120,,,,,,0,0,0,0,0,0,0,0,0,0,0,,33,33,,8,8,80,4.125,0.4125,24.75,0,4181,,8
PR1,4,,4,60,0,60,,,,,,0,0,0,0,0,0,0,0,0,0,0,44,,44,3,,3,30,14.666666666667,1.4666666666667,88,0,4183,,4
