Date,CDC Week,Time,Body Area,Location on body,Genus,Species,Temp_A,Temp_L,Wind Speed_A,Wind Speed_L,Humidity,Coordinates,UTM Easting,UTM Northing,WNV in hex,HexID,HexType,Sunset,Sunrise,Mins from sunlight,Decimal Degrees,AM visits,PM visits,AM capture rate,PM capture rate
08/10/2018,32,5:33:00 AM,Leg,Leg,Culex,salinarius,69,68,,0,99,"42°0'49""N 88°0'50""W",416050.0,4651785.0,No,4241,LR0,8:01:00 PM,5:55:00 AM,22,,3,1,0.333333,
08/10/2018,32,5:35:00 AM,Leg,Leg,Aedes,vexans,69,68,,0,99,"42°0'49""N 88°0'50""W",416050.0,4651785.0,No,4241,LR0,8:01:00 PM,5:55:00 AM,20,,3,1,0.333333,
08/10/2018,32,5:35:00 AM,Leg,Leg,Anopheles,quadrimaculatus,69,68,,0,99,"42°0'49""N 88°0'50""W",416050.0,4651785.0,No,4241,LR0,8:01:00 PM,5:55:00 AM,20,,3,1,0.333333,
08/10/2018,32,5:35:00 AM,Leg,Leg,Anopheles,quadrimaculatus,69,68,,0,99,"42°0'49""N 88°0'50""W",416050.0,4651785.0,No,4241,LR0,8:01:00 PM,5:55:00 AM,20,,3,1,0.333333,
08/10/2018,32,5:36:00 AM,Leg,Leg,Aedes,vexans,69,68,,0,99,"42°0'49""N 88°0'50""W",416050.0,4651785.0,No,4241,LR0,8:01:00 PM,5:55:00 AM,19,,3,1,0.333333,
08/10/2018,32,5:41:00 AM,Leg,Leg,Aedes,vexans,69,68,,0,99,"42°0'49""N 88°0'50""W",416050.0,4651785.0,No,4241,LR0,8:01:00 PM,5:55:00 AM,14,,3,1,0.333333,
08/23/2018,34,6:02:00 AM,Arm,Arm,Aedes,vexans,57,60.3,,0.4,84,"42°1'5"" N, 88°0'46"" W",416147.0,4652277.0,No,4241,LR0,7:40:00 PM,6:08:00 AM,6,,3,1,0.333333,
07/27/2018,30,12:19:00 AM,Other,In Vehicle,Culex,restuans,65,64.5,,0,70,"42°8'37"" N, 88°13'46"" W",398409.0,4666453.0,No,5250,LR0,8:17:00 PM,5:41:00 AM,242,,,3,,0.333333
08/22/2018,34,7:17:00 PM,Other,Unknown,Aedes,trivittatus,71,74.6,,1.1,45,"42°3'13"" N, 88°13'56"" W",398035.0,4656463.0,Yes,4597,PR1,7:43:00 PM,6:08:00 AM,-26,,,3,,0.333333
08/22/2018,34,7:22:00 PM,Other,Unknown,Aedes,trivittatus,71,74.6,,1.1,45,"42°3'13"" N, 88°13'56"" W",398035.0,4656463.0,Yes,4597,PR1,7:43:00 PM,6:08:00 AM,-21,,,3,,0.333333
08/22/2018,34,7:23:00 PM,Leg,Leg,Aedes,trivittatus,71,74.6,,1.1,45,"42°3'13"" N, 88°13'56"" W",398035.0,4656463.0,Yes,4597,PR1,7:43:00 PM,6:08:00 AM,-20,,,3,,0.333333
08/22/2018,34,7:27:00 PM,Other,Unknown,Aedes,trivittatus,71,74.6,,1.1,45,"42°3'13"" N, 88°13'56"" W",398035.0,4656463.0,Yes,4597,PR1,7:43:00 PM,6:08:00 AM,-16,,,3,,0.333333
08/22/2018,34,9:24:00 PM,Leg,Ankle,Aedes,trivittatus,71,74.6,,1.1,45,"42°3'13"" N, 88°13'56"" W",398035.0,4656463.0,Yes,4597,PR1,7:43:00 PM,6:08:00 AM,101,,,3,,0.333333
08/22/2018,34,9:27:00 PM,Leg,Ankle,Aedes,trivittatus,71,74.6,,1.1,45,"42°3'13"" N, 88°13'56"" W",398035.0,4656463.0,Yes,4597,PR1,7:43:00 PM,6:08:00 AM,104,,,3,,0.333333
08/22/2018,34,9:28:00 PM,Head,Head,Culex,unknown,65,67.4,,0,62,"42°2'29"" N, 88°6'10"" W",408729.0,4654960.0,Yes,4471,PR1,7:42:00 PM,6:08:00 AM,106,,,3,,0.333333
08/22/2018,34,10:17:00 PM,Leg,Leg,Aedes,vexans,62,64.2,,1.7,71,"42°5'19"" N, 88°9'44"" W",403880.0,4660268.0,No,4854,LR0,7:43:00 PM,6:08:00 AM,154,,,3,,0.333333
07/26/2018,30,10:39:00 PM,Arm,Arm,Aedes,vexans,66,66.2,,1.1,71,"42°3'13"" N, 88°13'56"" W",398035.0,4656463.0,Yes,4597,PR1,8:18:00 PM,5:40:00 AM,141,,,3,,0.333333
07/27/2018,30,8:15:00 PM,Other,Unknown,Aedes,vexans,74,73.2,,1.7,50,"42°0'54""N 87°51'8""W",429437.0,4651793.0,Yes,4250,LR1,8:15:00 PM,5:40:00 AM,0,,,4,,0.25
07/27/2018,30,8:18:00 PM,Other,Unknown,Aedes,vexans,74,73.2,,1.7,50,"42°0'54""N 87°51'8""W",429437.0,4651793.0,Yes,4250,LR1,8:15:00 PM,5:40:00 AM,3,,,4,,0.25
08/10/2018,32,8:27:00 PM,Leg,Leg,Anopheles,quadrimaculatus,73,72.3,,,72,"42°0'54""N 87°51'8""W",429437.0,4651793.0,Yes,4250,LR1,7:59:00 PM,5:40:00 AM,28,,,4,,0.25
08/10/2018,32,8:30:00 PM,Other,Out of Air,Culex,unknown,73,72.3,,,72,"42°0'54""N 87°51'8""W",429437.0,4651793.0,Yes,4250,LR1,7:59:00 PM,5:40:00 AM,31,,,4,,0.25
07/27/2018,30,8:46:00 PM,Head,Head,Aedes,vexans,73,71.7,,2.6,53,"42°0'49""N 88°0'50""W",416050.0,4651785.0,No,4349,NR0,8:16:00 PM,5:41:00 AM,30,,,4,,0.25
08/10/2018,32,8:53:00 PM,Other,Out of Air,Anopheles,quadrimaculatus,73,71.2,,0,70,"42°1'37""N 87°53'12""W",426599.0,4653148.0,No,4349,NR0,7:59:00 PM,5:54:00 AM,54,,,4,,0.25
09/09/2019,37,6:39:00 PM,Arm,Arm,Aedes,vexans,72,72.6,8,2.2,77,"42°1'1""N 87°59'42""W",417618.0,4652136.0,No,4242,NR0,7:12:00 PM,6:26:00 AM,-33,,,6,,0.1666667
09/09/2019,37,6:44:00 PM,Arm,Arm,Aedes,vexans,72,72.6,8,2.2,77,"42°1'1""N 87°59'42""W",417618.0,4652136.0,No,4242,NR0,7:12:00 PM,6:26:00 AM,-28,,,6,,0.1666667
09/09/2019,37,6:47:00 PM,Arm,Arm,Aedes,vexans,72,72.6,8,2.2,77,"42°1'1""N 87°59'42""W",417618.0,4652136.0,No,4242,NR0,7:12:00 PM,6:26:00 AM,-25,,,6,,0.1666667
08/20/2019,34,7:05:00 PM,Leg,Ankle,Aedes,vexans,75,73.5,3,0,73,"42°1'1""N 87°59'43""W",417595.0,4652137.0,No,4242,NR0,7:45:00 PM,6:05:00 AM,-40,,,6,,0.1666667
09/09/2019,37,7:31:00 PM,Arm,Arm,Aedes,vexans,70,71.6,6,1.3,84,"41°59'53""N 87°59'19""W",418123.0,4650033.0,Yes,4073,LR1,7:12:00 PM,6:26:00 AM,19,,,6,,0.1666667
